Question Number,Bold,Regular,Italic
Q1,Impact on Ecosystem Processes and System-Wide Parameters,,
Q1a,,"Does the species increase fire occurrence, frequency, or intensity in habitats that rarely support fire?",(A) yes (D) no
Q1b,,Does the species alter water regimes in wetland systems?,(A) yes (D) no
Q1c,,Does the species increase sedimentation rates?,(B) yes (D) no
Q1d,,Does the species fix nitrogen?,(A) yes (D) no
Q1e,,Is the species allelopathic?,(A) yes (D) no
Q1f,,Does the species reduce light availability across most of the area it occupies?,(B) frequently reduces light (C) infrequently reduces light (D) no documented reduction
Q1g,,Does the species influence soil nutrient availability or other soil qualities?,"(B) large influence on leaf litter decomposition rates, soil pH, soil microbiome, levels of nutrients, or other soil quality characteristics (C) perceivable but mild influence on soil nutrient availability (D) no documented influence"
Q2,Impact on Ecological Community Structure,How does the species impact the structure of the vegetation layers?,"(A) creates, covers, or eliminates a vegetation layer (B) substantially changes layer density (C) moderately changes layer density (D) establishes within existing layers without significant changes to structure"
Q3,Impact on Ecological Community Composition?,,
Q3a,,Does the species reduce the population size of one or more locally common native species?,(A) extirpation/sharp reduction in abundance of several species (B) significant reduction in population sizes of several species (C) perceivable but mild reductions in population sizes of several species (D) no perceivable change in common native species
Q3b,,Does the species facilitate significant increases in proportion of other non-native species?,"(A) documented population increases of associated non-native species (B) other non-native species are associated with the species, but no documentation of population increase (D) no"
Q3c,,Does the species suppress seedling growth or recruitment of native successional/climax species?,"(A) suppresses seedlings in many environmental conditions (B) suppresses seedlings only within favorable environmental conditions such as early successional habitats, burns, wetlands, etc. (C) occasional or infrequent suppression, or limited data (D) no"
Q4,Impact on Individual Native Plant or Animal Species,,
Q4a,,Does the species strongly outcompete a particular native species or have other disproportionate or unusual impacts?,(A) causes extirpation/sharp reduction in population of a particular species (B) significantly reduces population of a particular species (C) occasionally reduces population of particular species (D) no disproportionate/unusual impact
Q4b,,Does the species hybridize with a particular native species?,(A) readily hybridizes with native species (B) rarely hybridizes with native species (C) hybridization hypothesized based on close phylogenetic relationship with native species (D) no reports of hybridization or impacts
Q4c,,Does the species parasitize a particular native species?,(A) readily parasitizes a native species (B) occasionally parasitizes a native species (C) rarely parasitizes a native species and impacts are minor (D) no
Q4d,,Does the species poison a particular native species?,(A) contains toxins that are lethal to native species (B) contains toxins that moderately affect native species (C) contains toxins but infrequently consumed (D) no impact/reports
