patch_id,FIA_Group,patch_acres,acres,num_patches
8,White/Red/Jack Pine,1547,1989,15
8,Longleaf/Slash Pine,728,728,1
8,Loblolly/Shortleaf Pine,5963,375404,818
8,Pinyon/Juniper,15,283,7
8,Exotic Softwoods,630,646,2
8,Oak/Pine,2055,95892,352
8,Oak/Hickory,583183,1690645,3797
8,Elm/Ash/Cottonwood,1294,18885,248
8,Maple/Beech/Birch,110915,116427,163
11963,Oak/Hickory,14,1690645,3797
11963,Maple/Beech/Birch,15,116427,163
11998,Oak/Hickory,108,1690645,3797
12027,Maple/Beech/Birch,15,116427,163
12028,Oak/Hickory,15,1690645,3797
12033,Oak/Hickory,15,1690645,3797
12033,Maple/Beech/Birch,61,116427,163
12035,Oak/Hickory,15,1690645,3797
12057,Oak/Hickory,15,1690645,3797
12094,Oak/Hickory,76,1690645,3797
12094,Maple/Beech/Birch,15,116427,163
12095,Maple/Beech/Birch,15,116427,163
12110,Oak/Hickory,15,1690645,3797
12111,Maple/Beech/Birch,14,116427,163
12115,Oak/Hickory,61,1690645,3797
12116,Oak/Hickory,16,1690645,3797
12116,Maple/Beech/Birch,16,116427,163
12117,Oak/Hickory,61,1690645,3797
12119,Oak/Hickory,28,1690645,3797
12122,Oak/Hickory,16,1690645,3797
12126,Oak/Hickory,6,1690645,3797
12126,Maple/Beech/Birch,16,116427,163
12132,Oak/Hickory,15,1690645,3797
12150,Oak/Hickory,16,1690645,3797
12152,Oak/Hickory,26,1690645,3797
12163,Oak/Hickory,914,1690645,3797
12169,Oak/Hickory,16,1690645,3797
12181,Oak/Hickory,344,1690645,3797
12181,Maple/Beech/Birch,16,116427,163
12183,Oak/Hickory,62,1690645,3797
12191,Oak/Hickory,16,1690645,3797
12195,Oak/Hickory,100,1690645,3797
12197,Oak/Hickory,0,1690645,3797
12199,Oak/Hickory,78,1690645,3797
12199,Maple/Beech/Birch,16,116427,163
12206,Oak/Hickory,15,1690645,3797
12207,Oak/Hickory,16,1690645,3797
12208,Oak/Hickory,15,1690645,3797
12209,Oak/Hickory,520,1690645,3797
12209,Maple/Beech/Birch,14,116427,163
12210,Oak/Pine,32,95892,352
12215,Oak/Hickory,15,1690645,3797
12224,Oak/Hickory,4296,1690645,3797
12224,Elm/Ash/Cottonwood,78,18885,248
12224,Maple/Beech/Birch,31,116427,163
12229,Oak/Hickory,15,1690645,3797
12231,Oak/Hickory,1447,1690645,3797
12231,Maple/Beech/Birch,31,116427,163
12233,Oak/Hickory,15,1690645,3797
12235,Oak/Hickory,33,1690645,3797
12237,Oak/Hickory,15,1690645,3797
12241,Oak/Hickory,16,1690645,3797
12242,Oak/Hickory,15,1690645,3797
12243,Oak/Hickory,11,1690645,3797
12249,Oak/Hickory,30,1690645,3797
12251,Maple/Beech/Birch,16,116427,163
