patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
8,Red Pine,1129,1207,5
8,Eastern White Pine,226,559,9
8,Eastern Hemlock,192,223,3
8,Slash Pine,728,728,1
8,Loblolly Pine,3,357234,750
8,Virginia Pine,5960,18108,91
8,Eastern Redcedar,15,283,7
8,Other Exotic Softwoods,630,646,2
8,White Pine / Red Oak / White Ash,62,62,1
8,Eastern Redcedar / Hardwood,67,1448,24
8,Virginia Pine / Southern Red Oak,856,19632,66
8,Other Pine / Hardwood,1069,1298,10
8,Post Oak / Blackjack Oak,118,8206,99
8,Chestnut Oak,24328,32022,87
8,White Oak / Red Oak / Hickory,59360,115120,329
8,White Oak,4480,9348,53
8,Northern Red Oak,1098,6146,21
8,Yellow-poplar / White Oak / Red Oak,2526,16541,139
8,Sweetgum / Yellow-poplar,490345,512092,300
8,Black Locust,16,840,24
8,Mixed Upland Hardwoods,911,949111,3291
8,Black Ash / American Elm / Red Maple,530,6349,106
8,River Birch / Sycamore,480,1228,16
8,Sycamore / Pecan / American Elm,176,7296,88
8,Sugarberry / Hackberry / Elm / Green Ash,107,326,6
8,Sugar Maple / Beech / Yellow Birch,36451,38274,63
8,Black Cherry,74463,77569,93
11963,White Oak,14,9348,53
11963,Black Cherry,15,77569,93
11998,White Oak / Red Oak / Hickory,47,115120,329
11998,White Oak,15,9348,53
11998,Sweetgum / Yellow-poplar,45,512092,300
12027,Black Cherry,15,77569,93
12028,White Oak,15,9348,53
12033,White Oak / Red Oak / Hickory,15,115120,329
12033,Sugar Maple / Beech / Yellow Birch,16,38274,63
12033,Black Cherry,45,77569,93
12035,White Oak,15,9348,53
12057,Sweetgum / Yellow-poplar,15,512092,300
12094,White Oak / Red Oak / Hickory,60,115120,329
12094,White Oak,15,9348,53
12094,Black Cherry,15,77569,93
12095,Black Cherry,15,77569,93
12110,White Oak,15,9348,53
12111,Black Cherry,14,77569,93
12115,White Oak / Red Oak / Hickory,61,115120,329
12116,Sweetgum / Yellow-poplar,16,512092,300
12116,Black Cherry,16,77569,93
12117,White Oak / Red Oak / Hickory,61,115120,329
12119,White Oak / Red Oak / Hickory,22,115120,329
12119,Sweetgum / Yellow-poplar,6,512092,300
12122,Sweetgum / Yellow-poplar,16,512092,300
12126,Mixed Upland Hardwoods,6,949111,3291
12126,Sugar Maple / Beech / Yellow Birch,16,38274,63
12132,White Oak / Red Oak / Hickory,15,115120,329
12150,White Oak / Red Oak / Hickory,16,115120,329
12152,Chestnut Oak,12,32022,87
12152,Mixed Upland Hardwoods,14,949111,3291
12163,Post Oak / Blackjack Oak,32,8206,99
12163,Mixed Upland Hardwoods,881,949111,3291
12169,White Oak / Red Oak / Hickory,16,115120,329
12181,Sweetgum / Yellow-poplar,344,512092,300
12181,Black Cherry,16,77569,93
12183,White Oak / Red Oak / Hickory,46,115120,329
12183,Sweetgum / Yellow-poplar,16,512092,300
12191,White Oak / Red Oak / Hickory,16,115120,329
12195,Mixed Upland Hardwoods,100,949111,3291
12197,White Oak / Red Oak / Hickory,0,115120,329
12199,White Oak / Red Oak / Hickory,31,115120,329
12199,Sweetgum / Yellow-poplar,46,512092,300
12199,Black Cherry,16,77569,93
12206,Sweetgum / Yellow-poplar,15,512092,300
12207,Sweetgum / Yellow-poplar,16,512092,300
12208,White Oak / Red Oak / Hickory,15,115120,329
12209,White Oak / Red Oak / Hickory,91,115120,329
12209,Mixed Upland Hardwoods,429,949111,3291
12209,Sugar Maple / Beech / Yellow Birch,14,38274,63
12210,Eastern Redcedar / Hardwood,32,1448,24
12215,Sweetgum / Yellow-poplar,15,512092,300
