species,Tier_2_year,genus_only,species_abb,authority,family,common_name,year,EddMapsID
Acer platanoides,NA,NA,A. platanoides,L.,Sapindaceae,Norway maple,1753,3002
Aegopodium podagraria,NA,NA,A. podagraria,L.,Apiaceae,Goutweed,1753,11534
Ailanthus altissima,NA,NA,A. altissima,(Mill.) Swingle,Simaroubaceae,Tree-of-heaven,1916,3003
Akebia quinata,NA,NA,A. quinata,(Thunb. ex Houtt.) Decne.,Lardizabalaceae,Chocolate vine,1839,10090
Albizia julibrissin,NA,NA,A. julibrissin,Durazz.,Fabaceae,Mimosa/Silk tree,1772,3004
Alliaria petiolata,NA,NA,A. petiolata,(M. Bieb.) Cavara & Grande,Brassicaceae,Garlic mustard,1913,3005
Ampelopsis glandulosa,NA,NA,A. glandulosa,(Wall.) Momiy.,Vitaceae,Porcelain-berry,1971,78266
Aralia elata,2020,NA,A. elata,(Miq.) Seem.,Araliaceae,Japanese angelica tree,1868,11536
Arthraxon hispidus,NA,NA,A. hispidus,(Thunb.) Makino,Poaceae,Joint-head grass,1912,5136
Arum italicum,NA,NA,A. italicum,Mill.,Araceae,Italian arum,1768,13931
Berberis thunbergii,2020,NA,B. thunbergii,DC.,Berberidaceae,Japanese barberry,1821,3010
Broussonetia papyrifera,NA,NA,B. papyrifera,(L.) Vent.,Moraceae,Paper mulberry,1799,5208
Buddleja davidii,NA,NA,B. davidii,Franch.,Scrophulariaceae,Butterfly-bush,1888,11608
Celastrus orbiculatus,NA,NA,C. orbiculatus,Thunb.,Celastraceae,Asian bittersweet,1784,3012
Cenchrus purpurascens,NA,NA,C. purpurascens,Thunb.,Poaceae,Chinese fountain grass,1794,28488
Centaurea stoebe,NA,NA,C. stoebe,L.,Asteraceae,Spotted knapweed,1753,3013
Cirsium arvense,NA,NA,C. arvense,(L.) Scop.,Asteraceae,Canada thistle,1771,2792
Clematis terniflora,NA,NA,C. terniflora,DC.,Ranunculaceae,Sweet autumn clematis,1817,5354
Corydalis incisa,NA,NA,C. incisa,Pers.,Papaveraceae,Incised fumewort,1806,78096
Cytisus scoparius,2017,NA,C. scoparius,(L.) Link,Fabaceae,Scotch broom,1822,4408
Dioscorea polystachya,NA,NA,D. polystachya,Turcz.,Dioscoreaceae,Chinese yam,1837,4527
Elaeagnus umbellata,NA,NA,E. umbellata,Thunb.,Elaeagnaceae,Autumn olive,1784,3021
Epipactis helleborine,NA,NA,E. helleborine,(L.) Crantz,Orchidaceae,Broadleaf helleborine,1769,11976
Euonymus alatus,2016,NA,E. alatus,(Thunb.) Siebold,Celastraceae,Winged burning bush,1830,3023
Euonymus fortunei,NA,NA,E. fortunei,(Turcz.),Celastraceae,Wintercreeper,1933,3024
Fatoua villosa,NA,NA,F. villosa,(Thunb.),Moraceae,Mulberry-weed,1927,5639
Ficaria verna,NA,NA,F. verna,Huds.,Ranunculaceae,Fig buttercup,1762,3069
Geranium lucidum,NA,NA,G. lucidum,L.,Geraniaceae,Shining cranesbill,1753,14069
Glechoma hederacea,NA,NA,G. hederacea,L.,Lamiaceae,Ground Ivy,1753,3026
Hedera helix,NA,TRUE,H. helix,L.,Araliaceae,English Ivy,1753,3027
Hedera hibernica,NA,TRUE,H. hibernica,Poit.,Araliaceae,Atlantic Ivy,1835,18746
Hemerocallis fulva,NA,NA,H. fulva,(L.) L.,Asphodelaceae,Orange daylily,1762,3407
Heracleum mantegazzianum,NA,NA,H. mantegazzianum,Sommier & Levier,Apiaceae,Giant hogweed,1895,4536
Hesperis matronalis,NA,NA,H. matronalis,L.,Brassicaceae,Dame's rocket,1753,5702
Humulus japonicus,NA,NA,H. japonicus,Siebold & Zucc.,Cannabaceae,Japanese hop,1846,10091
Hyacinthoides hispanica,NA,NA,H. hispanica,(Mill.) Rothm.,Asparagaceae,Spanish bluebells,1944,36034
Hydrilla verticillata,NA,NA,H. verticillata,(L. f.) Royle,Hydrocharitaceae,Waterthyme,1839,3028
Kalopanax septemlobus,NA,NA,K. septemlobus,Koidz.,Araliaceae,Castor-aralia,1925,28071
Lamium galeobdolon,NA,NA,L. galeobdolon,(L.) L.,Lamiaceae,Yellow archangel,1759,14085
Lespedeza cuneata,NA,NA,L. cuneata,(Dum.Cours.) G. Don,Fabaceae,Sericea lespedeza,1832,3033
Leucojum aestivum,NA,NA,L. aestivum,L.,Amaryllidaceae,Summer-snowflake,1759,51015
Ligustrum obtusifolium,2016,NA,L. obtusifolium,Siebold & Zucc.,Oleaceae,Border privet,1846,10087
Ligustrum ovalifolium,NA,TRUE,L. ovalifolium,Hassk.,Oleaceae,Garden privet,1844,11561
Ligustrum sinense,NA,TRUE,L. sinense,Lour.,Oleaceae,Chinese privet,1790,3035
Ligustrum vulgare,NA,TRUE,L. vulgare,L.,Oleaceae,European privet,1753,3036
Lonicera japonica,NA,NA,L. japonica,Thunb.,Caprifoliaceae,Japanese honeysuckle,1784,3039
